ASIN,Brand,Marketplace,Keyword
B07PXFF18X,393,DE,Fendi Shoulder Bag
B0CTD492NW,90,DE,Fendi Shoulder Bag
B0CTD39354,13,DE,Fendi Shoulder Bag
B0CY5HZZG1,"1,101",DE,Fendi Shoulder Bag
B0FJ2XLK99,Unknown Brand,DE,Fendi Shoulder Bag
B0C2TYXC5N,"2,377",DE,Fendi Shoulder Bag
B0CLZT91DG,363,DE,Fendi Shoulder Bag
B0CN14LTSF,123,DE,Fendi Shoulder Bag
B0F5Q2P1K9,26,DE,Fendi Shoulder Bag
B0D1QQRLWX,93,DE,Fendi Shoulder Bag
B0DZ67W71G,88,DE,Fendi Shoulder Bag
B0F9NQPBJ2,Was:,DE,Fendi Shoulder Bag
B0CLZVTXP5,363,DE,Fendi Shoulder Bag
B0DHPLT1M9,95,DE,Fendi Shoulder Bag
B071J85BJK,"3,839",DE,Fendi Shoulder Bag
B0DHRHFMPF,43,DE,Fendi Shoulder Bag
B0CBB35YY8,35,DE,Fendi Shoulder Bag
B096XCZRWF,"2,072",DE,Fendi Shoulder Bag
B07YQQFC9T,"1,863",DE,Fendi Shoulder Bag
B07T7DPZ8G,874,DE,Fendi Shoulder Bag
B09YNLNWGX,194,DE,Fendi Shoulder Bag
B0CG5Z5R87,450,DE,Fendi Shoulder Bag
B0F3X6H3DF,10,DE,Fendi Shoulder Bag
B0DLFNTBRD,8,DE,Fendi Shoulder Bag
B0DCJFYTYP,15,DE,Fendi Shoulder Bag
B0CZMMZPBZ,"3,695",DE,Fendi Shoulder Bag
B0F4XHHSCQ,66,DE,Fendi Shoulder Bag
B0DPMG3B46,27,DE,Fendi Shoulder Bag
B0CNPXGZN1,30,DE,Fendi Shoulder Bag
B0CH31LS9P,297,DE,Fendi Shoulder Bag
B0DTJRLSD2,8,DE,Fendi Shoulder Bag
B09BVJYWP1,507,DE,Fendi Shoulder Bag
B0CY1TV7J6,20,DE,Fendi Shoulder Bag
B0D69JLMBD,133,DE,Fendi Shoulder Bag
B0C3H5SQWC,325,DE,Fendi Shoulder Bag
B0D1R3HMGZ,65,DE,Fendi Shoulder Bag
B0F1XVCJF2,2,DE,Fendi Shoulder Bag
